block,trial,trialtype,trialtype_string,cuetype,cuetype_string,correct_key,key_pressed,is_resp_corr,reaction_time
1,1,1,left_cong,1,cong,num_7,,0,
1,2,0,right_cong,1,cong,num_9,,0,
1,3,0,right_cong,1,cong,num_9,,0,
1,1,1,left_cong,1,cong,num_7,,0,
1,1,1,left_cong,1,cong,num_7,,0,
1,1,1,left_cong,1,cong,num_7,,0,
1,2,0,right_cong,1,cong,num_9,,0,
1,3,0,right_cong,1,cong,num_9,,0,
1,1,1,left_cong,1,cong,num_7,,0,
1,1,1,left_cong,1,cong,num_7,,0,
1,1,1,left_cong,1,cong,num_7,,0,
1,1,1,left_cong,1,cong,num_7,,0,
1,2,0,right_cong,1,cong,num_9,,0,
1,3,0,right_cong,1,cong,num_9,,0,
1,1,1,left_cong,1,cong,num_7,green,0,0.0012320000096224248
1,2,0,right_cong,1,cong,num_9,green,0,0.0027229999541305006
1,3,0,right_cong,1,cong,num_9,red,0,0.0017649999936111271
1,4,0,right_cong,1,cong,num_9,red,0,0.0010178000084124506
1,5,1,left_cong,1,cong,num_7,red,0,0.0029912000172771513
1,6,1,left_cong,1,cong,num_7,green,0,0.0025174000184051692
1,7,0,right_cong,1,cong,num_9,green,0,0.0017152999644167721
1,8,0,right_cong,1,cong,num_9,,0,
1,9,1,left_cong,1,cong,num_7,,0,
1,10,1,left_cong,1,cong,num_7,white,0,1.6992613999755122
1,11,0,right_cong,1,cong,num_9,button release,0,0.0017595000099390745
1,12,1,left_cong,1,cong,num_7,,0,
1,13,2,right_incg,0,incg,num_7,,0,
1,14,3,left_incg,0,incg,num_9,,0,
1,15,3,left_incg,0,incg,num_9,,0,
1,16,3,left_incg,0,incg,num_9,white,0,0.0013413999695330858
1,17,2,right_incg,0,incg,num_7,button release,0,0.0010904999799095094
1,18,2,right_incg,0,incg,num_7,,0,
1,19,3,left_incg,0,incg,num_9,,0,
1,20,2,right_incg,0,incg,num_7,,0,
1,1,1,left_cong,1,cong,num_7,red,0,0.0015420999843627214
1,2,0,right_cong,1,cong,num_9,red,0,0.8546427999972366
1,3,0,right_cong,1,cong,num_9,button release,0,0.001812300004530698
1,4,0,right_cong,1,cong,num_9,red,0,0.0016127999988384545
1,5,1,left_cong,1,cong,num_7,red,0,0.0018155999714508653
1,6,1,left_cong,1,cong,num_7,red,0,0.0024794000200927258
1,7,0,right_cong,1,cong,num_9,green,0,0.0027888999902643263
1,8,0,right_cong,1,cong,num_9,,0,
1,9,1,left_cong,1,cong,num_7,,0,
1,10,1,left_cong,1,cong,num_7,,0,
1,1,1,left_cong,1,cong,green,green,1,0.001794499985408038
1,2,0,right_cong,1,cong,red,green,0,0.0015332000330090523
1,3,0,right_cong,1,cong,red,red,1,0.0022788000060245395
1,4,0,right_cong,1,cong,red,red,1,0.0019931999850086868
1,5,1,left_cong,1,cong,green,red,0,0.0015298000071197748
1,6,1,left_cong,1,cong,green,green,1,0.0019490999984554946
1,7,0,right_cong,1,cong,red,green,0,0.002071700000669807
1,8,0,right_cong,1,cong,red,red,1,0.0016887999954633415
1,9,1,left_cong,1,cong,green,red,0,0.0025907999952323735
1,10,1,left_cong,1,cong,green,green,1,0.0014841000083833933
1,11,0,right_cong,1,cong,red,green,0,0.0021502000163309276
1,12,1,left_cong,1,cong,green,red,0,0.0017963999998755753
1,13,2,right_incg,0,incg,green,green,1,0.001585699967108667
1,14,3,left_incg,0,incg,red,red,1,0.001673599996138364
1,15,3,left_incg,0,incg,red,green,0,0.0016117999912239611
1,16,3,left_incg,0,incg,red,green,0,0.0014245000202208757
1,17,2,right_incg,0,incg,green,red,0,0.0018986000213772058
1,18,2,right_incg,0,incg,green,green,1,0.0017001000232994556
1,19,3,left_incg,0,incg,red,red,1,0.0019781000446528196
1,20,2,right_incg,0,incg,green,red,0,0.1665800999617204
1,21,3,left_incg,0,incg,red,button release,0,0.0020904999691993
1,22,1,left_cong,1,cong,green,red,0,0.0020152999786660075
1,23,0,right_cong,1,cong,red,red,1,0.0013069999986328185
1,24,1,left_cong,1,cong,green,green,1,0.002320700034033507
1,25,2,right_incg,0,incg,green,red,0,0.0014070000033825636
1,26,2,right_incg,0,incg,green,green,1,0.0014084000140428543
1,27,2,right_incg,0,incg,green,green,1,0.0028861999744549394
1,28,0,right_cong,1,cong,red,green,0,0.001988600008189678
1,29,0,right_cong,1,cong,red,green,0,0.0016154000186361372
1,30,1,left_cong,1,cong,green,green,1,0.002112500020302832
1,31,0,right_cong,1,cong,red,red,1,0.0014587999903596938
1,32,1,left_cong,1,cong,green,green,1,0.001865199999883771
1,33,0,right_cong,1,cong,red,green,0,0.001436399994418025
1,34,3,left_incg,0,incg,red,red,1,0.00182379997568205
1,35,2,right_incg,0,incg,green,green,1,0.0026093999622389674
1,36,2,right_incg,0,incg,green,red,0,0.0017161000287160277
1,37,3,left_incg,0,incg,red,red,1,0.5643840000266209
1,38,3,left_incg,0,incg,red,button release,0,0.002434800029732287
1,39,3,left_incg,0,incg,red,green,0,0.0018967000069096684
1,40,2,right_incg,0,incg,green,green,1,0.0008224000339396298
1,41,3,left_incg,0,incg,red,red,1,0.001380199973937124
1,42,2,right_incg,0,incg,green,red,0,0.0018162000342272222
1,43,2,right_incg,0,incg,green,green,1,0.001271400018595159
1,44,3,left_incg,0,incg,red,green,0,0.0023271000245586038
1,45,3,left_incg,0,incg,red,red,1,0.0016250000335276127
1,46,0,right_cong,1,cong,red,red,1,0.0021353999618440866
1,47,0,right_cong,1,cong,red,red,1,0.8976526000187732
1,48,0,right_cong,1,cong,red,button release,0,0.001479000027757138
1,49,1,left_cong,1,cong,green,red,0,0.0019252999918535352
1,50,0,right_cong,1,cong,red,green,0,0.001805800013244152
1,51,1,left_cong,1,cong,green,red,0,0.0012806000304408371
1,52,1,left_cong,1,cong,green,green,1,0.0018050000071525574
1,53,0,right_cong,1,cong,red,green,0,0.002370900008827448
1,54,0,right_cong,1,cong,red,red,1,0.0018580000032670796
1,55,2,right_incg,0,incg,green,red,0,0.001429299998562783
1,56,2,right_incg,0,incg,green,red,0,0.0034253000048920512
1,57,2,right_incg,0,incg,green,green,1,0.002050100010819733
1,58,2,right_incg,0,incg,green,green,1,0.0013500999775715172
1,59,3,left_incg,0,incg,red,green,0,0.0019233999773859978
1,60,2,right_incg,0,incg,green,red,0,0.0016204999992623925
